144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102154 || Base property ID: 102154 || CLUE small area: Melbourne (CBD) || Trading Name: St Michaels Uniting Church || Industry (ANZSIC4) code: 9540 || Industry (ANZSIC4) description: Religious Services || x coordinate: 144.969239 || y coordinate: -37.814359 || Location: (-37.81435862, 144.9692387) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Ocean Software Pty Ltd || Industry (ANZSIC4) code: 5420 || Industry (ANZSIC4) description: Software Publishing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Viridian Advisory Pty Ltd || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: State Street || Industry (ANZSIC4) code: 6221 || Industry (ANZSIC4) description: Banking || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Moelis & Company || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Centuria || Industry (ANZSIC4) code: 6330 || Industry (ANZSIC4) description: Superannuation Funds || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Strategic Project Partners Pty Ltd || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: RBC Capital Markets || Industry (ANZSIC4) code: 6411 || Industry (ANZSIC4) description: Financial Asset Broking Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Third Horizon || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Marubeni Australia Ltd || Industry (ANZSIC4) code: 3800 || Industry (ANZSIC4) description: Commission-Based Wholesaling || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Investec || Industry (ANZSIC4) code: 6221 || Industry (ANZSIC4) description: Banking || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Alfasi Group Pty Ltd || Industry (ANZSIC4) code: 3011 || Industry (ANZSIC4) description: House Construction || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Linkeo || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Dimensional Fund Advisors || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: FIIG Securities || Industry (ANZSIC4) code: 6240 || Industry (ANZSIC4) description: Financial Asset Investing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Blue Sky Alternative Investments Limited || Industry (ANZSIC4) code: 6411 || Industry (ANZSIC4) description: Financial Asset Broking Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Knight Frank || Industry (ANZSIC4) code: 6720 || Industry (ANZSIC4) description: Real Estate Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Bloomberg L.P || Industry (ANZSIC4) code: 5700 || Industry (ANZSIC4) description: Internet Publishing and Broadcasting || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Crownbet Holdings Pty Limited || Industry (ANZSIC4) code: 9209 || Industry (ANZSIC4) description: Other Gambling Activities || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Kinetic Investment Partners || Industry (ANZSIC4) code: 6240 || Industry (ANZSIC4) description: Financial Asset Investing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Meydan Group || Industry (ANZSIC4) code: 3019 || Industry (ANZSIC4) description: Other Residential Building Construction || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Cerner Corporation || Industry (ANZSIC4) code: 5420 || Industry (ANZSIC4) description: Software Publishing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Melbourne City Watchmaker || Industry (ANZSIC4) code: 9499 || Industry (ANZSIC4) description: Other Repair and Maintenance n.e.c. || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Melbourne City Engraving || Industry (ANZSIC4) code: 9491 || Industry (ANZSIC4) description: Clothing and Footwear Repair || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: System Partners Pty Ltd || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Pinnacle Health || Industry (ANZSIC4) code: 8533 || Industry (ANZSIC4) description: Physiotherapy Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Kidder Williams Limited || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Gresham Partners Limited || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Infrastructure Capital Group || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Qualitas Securities || Industry (ANZSIC4) code: 6240 || Industry (ANZSIC4) description: Financial Asset Investing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Morgan Stanley || Industry (ANZSIC4) code: 6411 || Industry (ANZSIC4) description: Financial Asset Broking Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Oberoi Hotels (Australia) Pty Ltd || Industry (ANZSIC4) code: 4400 || Industry (ANZSIC4) description: Accommodation || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: KVB || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Legg Mason Asset Management Australia Limited || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Softwareone Australia Pty Limited || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Red Hat || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: ECG Advisory Solutions || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Bain & Company || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Australian Government Future Fund || Industry (ANZSIC4) code: 7510 || Industry (ANZSIC4) description: Central Government Administration || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Miles Advisory Partners Pty Limited || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Mitsui & Co. || Industry (ANZSIC4) code: 3800 || Industry (ANZSIC4) description: Commission-Based Wholesaling || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: BMO Capital Markets || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: ORD Minnett Limited || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Gordon Legal || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

