SA2_MAINCODE_2011,SA2_NAME_2011,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE
101011001,Goulburn,13310,Goulburn Mulwaree (A),1,100
101011002,Goulburn Region,13310,Goulburn Mulwaree (A),0.4690172,46.9017245
101011002,Goulburn Region,16180,Palerang (A),0.0113619,1.1361892
101011002,Goulburn Region,17640,Upper Lachlan Shire (A),0.5180712,51.8071226
101011002,Goulburn Region,18350,Wingecarribee (A),0.0003445,0.0344547
101011002,Goulburn Region,18710,Yass Valley (A),0.0012051,0.120509
101011003,Yass,18710,Yass Valley (A),1,100
101011004,Yass Region,11050,Boorowa (A),0.0229001,2.2900082
101011004,Yass Region,13700,Harden (A),0.0290942,2.9094239
101011004,Yass Region,17640,Upper Lachlan Shire (A),0.1131549,11.3154917
101011004,Yass Region,18710,Yass Valley (A),0.8348507,83.4850664
101011005,Young,13700,Harden (A),0.0108006,1.0800613
101011005,Young,18750,Young (A),0.9891994,98.9199387
101011006,Young Region,11050,Boorowa (A),0.2921527,29.2152719
101011006,Young Region,13700,Harden (A),0.4283191,42.8319116
101011006,Young Region,18750,Young (A),0.2795282,27.9528165
101021007,Braidwood,13310,Goulburn Mulwaree (A),0.0737055,7.3705494
101021007,Braidwood,16180,Palerang (A),0.9262945,92.6294506
101021008,Karabar,16470,Queanbeyan (C),1,100
101021009,Queanbeyan,16470,Queanbeyan (C),1,100
101021010,Queanbeyan - East,16470,Queanbeyan (C),1,100
101021011,Queanbeyan Region,12050,Cooma-Monaro (A),0.0535831,5.3583068
101021011,Queanbeyan Region,13310,Goulburn Mulwaree (A),0.0211829,2.1182871
101021011,Queanbeyan Region,16180,Palerang (A),0.7875107,78.751072
101021011,Queanbeyan Region,16470,Queanbeyan (C),0.1377233,13.7723341
101021012,Queanbeyan West - Jerrabomberra,16470,Queanbeyan (C),1,100
101031013,Bombala,11000,Bombala (A),0.9966889,99.668895
101031013,Bombala,12050,Cooma-Monaro (A),0.0033098,0.3309809
101031014,Cooma,12050,Cooma-Monaro (A),0.9833683,98.3368277
101031014,Cooma,17050,Snowy River (A),0.0166317,1.6631723
101031015,Cooma Region,12050,Cooma-Monaro (A),0.7694357,76.9435672
101031015,Cooma Region,17050,Snowy River (A),0.2305621,23.0562123
101031016,Jindabyne - Berridale,17050,Snowy River (A),1,100
